Session ended on Wednesday, Sep 10 2003 01:24:42 PM
Question,Time,Attempt,Seat/Name,ID,AB(B=Shared),Answer,CL
2,00:04.6,1,101,000000101,A,3,M
2,00:24.9,1,102,000000102,A,3,M
2,02:00.9,1,103,000000103,A,2,M
2,00:22.8,1,104,000000104,A,3,M
2,00:06.2,1,105,000000105,A,3,M
2,01:19.6,1,106,000000106,A,3,M
2,00:30.3,1,107,000000107,A,3,M
2,00:06.0,1,110,000000110,A,3,M
2,01:22.4,1,111,000000111,A,4,M
2,01:16.1,1,115,000000115,A,3,M
2,02:16.4,1,116,000000116,A,3,M
2,02:27.5,1,117,000000117,A,2,M
2,01:58.8,1,119,000000119,A,3,M
2,00:11.3,2,120,000000120,A,2,M
2,00:20.8,1,121,000000121,A,4,M
2,00:57.8,1,122,000000122,A,2,M
2,00:33.4,1,123,000000123,A,3,M
2,00:39.1,1,124,000000124,A,3,M
2,01:11.8,1,125,000000125,A,4,M
2,00:18.4,1,126,000000126,A,3,M
2,00:48.4,1,127,000000127,A,3,M
2,00:10.5,1,128,000000128,A,3,M
2,01:09.8,2,130,000000130,A,3,M
2,01:55.6,1,131,000000131,A,3,M
2,01:02.0,1,132,000000132,A,3,M
2,01:17.3,1,134,000000134,A,3,M
2,00:14.6,1,136,000000136,A,3,M
2,00:29.3,1,137,000000137,A,3,M
2,00:50.1,1,138,000000138,A,3,M
2,00:43.0,1,139,000000139,A,3,M
2,00:14.4,1,140,000000140,A,3,M
2,01:13.2,1,141,000000141,A,2,M
2,00:01.1,1,142,000000142,A,3,M
2,00:01.8,1,143,000000143,A,3,M
2,01:26.9,1,144,000000144,A,2,M
2,00:09.1,1,146,000000146,A,3,M
2,00:57.9,1,149,000000149,A,3,M
2,00:51.3,1,150,000000150,A,3,H
2,00:47.8,1,151,000000151,A,3,M
2,01:43.0,1,152,000000152,A,3,M
2,02:13.0,3,153,000000153,A,5,H
2,01:30.7,2,154,000000154,A,3,M
2,00:24.9,1,155,000000155,A,4,H
2,02:19.0,1,156,000000156,A,3,M
2,00:06.7,1,158,000000158,A,2,M
2,01:10.7,1,159,000000159,A,3,M
2,01:17.8,1,161,000000161,A,3,M
2,00:26.8,1,162,000000162,A,4,M
2,01:10.6,11,163,000000163,A,3,M
2,00:06.7,1,164,000000164,A,3,M
2,00:46.4,1,166,000000166,A,4,M
2,01:23.3,1,167,000000167,A,3,M
2,00:16.1,1,168,000000168,A,4,M
2,00:04.7,1,169,000000169,A,4,M
2,00:56.3,4,170,000000170,A,3,M
2,00:33.7,3,171,000000171,A,3,M
2,00:15.9,1,172,000000172,A,3,M
2,02:15.8,1,173,000000173,A,3,M
2,00:41.9,1,174,000000174,A,3,M
2,00:42.3,1,175,000000175,A,9,M
2,00:45.9,2,176,000000176,A,3,M
2,00:08.7,1,177,000000177,A,3,M
2,00:35.3,1,178,000000178,A,3,M
2,00:21.1,1,180,000000180,A,3,M
2,00:34.5,1,181,000000181,A,3,M
2,00:13.4,2,182,000000182,A,3,M
2,00:01.0,1,183,000000183,A,3,M
2,00:12.6,1,184,000000184,A,3,M
2,00:00.9,1,185,000000185,A,3,M
2,01:20.2,1,186,000000186,A,3,M
2,00:52.8,1,187,000000187,A,4,M
2,00:24.1,3,188,000000188,A,3,M
2,00:58.4,1,190,000000190,A,3,M
2,00:51.4,1,191,000000191,A,3,M
2,00:38.2,3,193,000000193,A,3,M
2,00:52.3,1,194,000000194,A,3,M
2,00:42.2,1,195,000000195,A,3,M
2,00:20.6,1,196,000000196,A,2,M
2,00:21.3,1,197,000000197,A,4,M
2,02:07.7,1,198,000000198,A,3,M
2,00:02.0,1,199,000000199,A,3,M
2,00:41.1,1,200,000000200,A,3,M
2,01:12.3,2,242,000000242,A,4,M
2,00:10.2,1,243,000000243,A,3,M
2,00:31.6,1,244,000000244,A,2,M
2,01:24.3,1,245,000000245,A,3,M
2,02:05.9,2,246,000000246,A,3,M
2,00:45.7,1,247,000000247,A,3,M
2,00:13.6,2,248,000000248,A,2,M
2,00:49.1,1,249,000000249,A,2,M
2,00:27.7,1,250,000000250,A,3,M
2,00:13.0,4,251,000000251,A,4,M
2,02:18.3,1,253,000000253,A,2,M
2,02:26.3,1,254,000000254,A,2,M
2,00:36.3,1,255,000000255,A,3,M
2,00:01.3,2,256,000000256,A,3,M
2,00:10.7,1,257,000000257,A,3,M
2,00:30.4,1,258,000000258,A,3,M
2,00:02.7,1,259,000000259,A,3,M
2,00:50.6,1,260,000000260,A,3,M
2,00:25.2,1,261,000000261,A,2,M
2,01:34.6,1,262,000000262,A,3,M
2,00:09.3,1,263,000000263,A,4,M
2,00:23.7,3,264,000000264,A,2,M
2,02:06.0,1,265,000000265,A,3,M
2,00:13.6,1,266,000000266,A,4,M
2,00:05.2,1,267,000000267,A,2,H
2,02:19.6,1,268,000000268,A,3,M
2,02:06.3,3,269,000000269,A,4,M
2,00:17.5,1,270,000000270,A,3,M
2,01:09.4,1,271,000000271,A,5,M
2,00:32.8,2,272,000000272,A,3,M
2,00:28.1,1,274,000000274,A,3,M
2,01:23.0,1,275,000000275,A,2,M
2,00:07.2,1,276,000000276,A,3,M
2,00:59.6,2,279,000000279,A,5,M
2,00:56.8,1,280,000000280,A,5,M
2,00:24.4,1,281,000000281,A,3,M
2,00:33.2,1,282,000000282,A,3,M
2,00:28.6,1,283,000000283,A,3,M
2,01:06.9,1,284,000000284,A,3,M
2,00:09.2,1,285,000000285,A,4,M
2,01:54.0,1,286,000000286,A,3,M
2,00:21.4,1,287,000000287,A,3,M
2,00:30.9,1,288,000000288,A,3,M
2,00:05.1,1,289,000000289,A,3,M
